"depth, m","Jan t","Feb t","Dec t","Apr t","May t","Sep t"
"0 m","-21.62","-24.06","-9.56","-3.12","-0.18","-0.56"
"0.5  m","-21.87","-23.93","-9.31","-2.37","0.00","-0.37"
"1 m","-21.31","-23.62","-9.37","-2.81","-0.06","-0.5"
"1.5 m","-21.18","-23.56","-9.18","-3.06","0.00","-0.31"
"2 m","-19.81","-22.75","-9.31","-4.06","-0.12","-1.00"
"2.5 m","-20.5","-23.12","-9.18","-3.5","-1.00","-0.56"
"3 m","-20.93","-23.37","-9.31","-3.06","-3.37","-0.06"
"3.5 m","-16.37","-19.81","-9.43","-5.12","-0.12","-2.18"
"4 m","-12.75","-16.75","-9.56","-5.75","0.00","-3.18"
"4.5 m","-8.62","-13.18","-9.06","-6.31","-0.5","-4.18"
"5 m","-6.06","-10.62","-8.37","-6.68","-1.00","-4.75"
"5.5 m","-4.50","-8.68","-7.93","-6.75","-1.43","-5.12"
"6 m","-3.50","-6.93","-7.25","-6.56","-1.93","-5.31"
"6.5 m","-2.87","-5.62","-6.56","-6.12","-2.18","-5.18"
"7 m","-2.62","-4.56","-5.81","-5.68","-2.56","-5.06"
"7.5 m","-2.81","-3.31","-4.31","-4.68","-3.12","-4.62"
"8 m","-3.31","-3.31","-3.62","-4.06","-3.56","-4.25"
"8.5 m","-3.56","-3.50","-3.68","-4.06","-3.75","-4.25"
"9 m","-3.25","-3.37","-4.00","-4.50","-3.50","-4.56"
"9.5 m","-2.56","-3.75","-5.00","-5.12","-2.75","-4.81"
